;;;;;;;4.58;VALORES ANUALIZADOS;;;;;;;;;;
EQUIPAMENTOS;DATA DA COMPRA;ANO;QUANTIDADE;VALOR TOTAL;CATEGORIA;SUBCATEGORIA;VALOR TOTAL ANUALIZADO;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;;COMENTÁRIOS;RECURSO;DESPESA
Caixa de som - OSIP;03/15/2021;2021;1;480;IT equipment;Speaker;104.803493449782;0;0;0;0;0;104.803493449782;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Computador - CTA;03/24/2021;2021;1;5895.33;IT equipment;Laptop;1287.18995633188;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipamentos Celulares, tablet e computador 
Computador - CTA;11/13/2019;2019;2;9492.55;IT equipment;Laptop;2072.60917030568;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipamentos Celulares, tablet e computador 
Notebook - Casa 1;10/07/2020;2020;1;6368.23;IT equipment;Laptop;1390.44323144105;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Notebook - OSIP;10/07/2020;2020;1;6368.23;IT equipment;Laptop;1390.44323144105;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Smartphone  - Casa 1;09/02/2020;2020;1;1208.06;IT equipment;Smartphone;263.768558951965;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Smartphone  - OSIP;09/02/2020;2020;1;1208.06;IT equipment;Smartphone;263.768558951965;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Smartphone  - OSIP;09/02/2020;2020;1;1208.06;IT equipment;Smartphone;263.768558951965;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Smartphone - Casa 1;04/02/2019;2019;1;846.2;IT equipment;Smartphone;184.759825327511;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Smartphone - CTA;04/02/2019;2019;1;846.2;IT equipment;Smartphone;184.759825327511;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipamentos Celulares, tablet e computador 
Smartphone - CTA;04/02/2019;2019;1;846.2;IT equipment;Smartphone;184.759825327511;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipamentos Celulares, tablet e computador 
Smartphone - FMUSP AUDRE;04/20/2021;2021;1;1799.1;IT equipment;Smartphone;392.816593886463;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Smartphone - OSIP;04/19/2021;2021;1;1259.1;IT equipment;Smartphone;274.912663755458;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Tablet  - Casa 1;09/20/2019;2019;1;1281;IT equipment;Tablet;279.694323144105;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Tablet  - Casa 1;09/20/2019;2019;1;1281;IT equipment;Tablet;279.694323144105;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Tablet - Casa 1;09/02/2020;2020;1;1004.31;IT equipment;Tablet;219.281659388646;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Equipamentos Celulares, tablet e computador 
Tablet - OSIP;09/02/2020;2020;1;1004.31;IT equipment;Tablet;219.281659388646;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Equipamentos Celulares, tablet e computador 
Computador - Casa 1;04/02/2019;2019;1;2789.08;IT equipment;Laptop;608.969432314411;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;;;;;
Computador - FMUSP;11/22/2019;2019;1;4741.65;IT equipment;Laptop;1035.29475982533;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;;;;;
Computador - FMUSP Márcia;04/09/2021;2021;1;6888.12;IT equipment;Laptop;1503.95633187773;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288;;;;;
Computador - FMUSP Paula;06/03/2021;2021;1;5896.32;IT equipment;Laptop;1287.40611353712;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952;;;;;
Notebook - Casa 1;09/04/2019;2019;1;5919.09;IT equipment;Laptop;1292.37772925764;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;;;;;
Notebook - Eliana;04/09/2021;2021;1;5989.67;IT equipment;Laptop;1307.78820960699;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164;;;;;
Notebook - Eliana Zucchi;06/17/2019;2019;1;8071.02;IT equipment;Laptop;1762.23144104804;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;;;;;
Notebook - OSIP;10/07/2020;2020;1;6368.23;IT equipment;Laptop;1390.44323144105;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;;;;;
Tablet - FMUSP;09/20/2019;2019;1;1281;IT equipment;Tablet;279.694323144105;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;;;;;
Tablet - FMUSP;09/20/2019;2019;1;1281;IT equipment;Tablet;279.694323144105;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;;;;;
Modem - OSIP (Supriz);11/12/2020;2020;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);12/12/2020;2020;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);01/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);02/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);03/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);04/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);05/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);06/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);07/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Modem - OSIP (Supriz);08/12/2021;2021;1;179.9;IT equipment;Modem;39.2794759825327;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;
Chips;10/09/2020;2020;1;30;IT equipment;SIM cards;6.55021834061135;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Contas (pacote de dados de celulares, assinatura grindr, adobe, impulsionamento no instagran, seguro)
Chips Vivo - Paula;05/20/2021;2021;1;30;IT equipment;SIM cards;6.55021834061135;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Contas (pacote de dados de celulares, assinatura grindr, adobe, impulsionamento no instagran, seguro)
