;;;;;;;;VALORES TOTAIS;;;;;;;;;
MATERIAL/INSUMO;DATA DA COMPRA;ANO;QUANTIDADE;VALOR UNITÁRIO;VALOR TOTAL;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;COMENTÁRIOS;RECURSO;DESPESA
Adesivo;06/04/2021;2021;200;0.75;150;Materials and tests;Promotional material;0;0;0;150;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Adesivo;06/07/2019;2019;200;0.62;124;Materials and tests;Promotional material;0;0;0;124;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Autoteste;-;2019;-;34.8;-;Materials and tests;Testing;23.2;0;69.6;162.4;0;46.4;;;;
Autoteste;-;2020;-;34.8;;Materials and tests;Testing;162.4;3567;835.2;545.2;0;1299.2;;;;
Autoteste;-;2021;-;34.8;;Materials and tests;Testing;23.2;2453.4;626.4;858.4;69.6;1368.8;;;;
Banner;01/06/2021;2021;1;473;473;Materials and tests;Promotional material;0;0;0;473;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Banner;07/21/2021;2021;1;487.78;487.78;Materials and tests;Promotional material;0;0;0;487.78;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Botton;06/24/2021;2021;150;1.25;202.9;Materials and tests;Promotional material;0;0;0;187.5;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Botton;06/12/2019;2019;600;1.39;834;Materials and tests;Promotional material;0;0;0;834;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Caixa de Correio;04/08/2020;2020;100;0.4;64.88;Materials and tests;Promotional material;0;13.3333333333333;13.3333333333333;13.3333333333333;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Caixa de Correio;06/03/2020;2020;270;1.08;290.7;Materials and tests;Promotional material;0;97.2;97.2;97.2;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Caixa de Correio;07/23/2021;2021;90;5.6;529.72;Materials and tests;Promotional material;0;168;168;168;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Calcinha Moda Trans;07/19/2021;2021;30;20;600;Materials and tests;Promotional material;0;0;0;0;0;600;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Pulseiras
Caneca;10/28/2020;2020;80;2.6;208;Materials and tests;Promotional material;0;0;0;0;0;208;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Copo
Cartão Auto Teste;11/19/2019;2019;1000;0.44;440;Materials and tests;Promotional material;0;146.666666666667;146.666666666667;146.666666666667;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Cartão Auto Teste;07/21/2021;2021;700;0.65;453.32;Materials and tests;Promotional material;0;151.666666666667;151.666666666667;151.666666666667;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Cartão de Visita;06/07/2019;2019;100;0.6;60;Materials and tests;Promotional material;0;0;0;60;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Cartão de Visita;01/06/2021;2021;200;0.99;198;Materials and tests;Promotional material;0;0;0;0;0;198;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Cartão de Visita;01/24/2020;2020;500;0.64;324.5;Materials and tests;Promotional material;0;0;0;0;0;320;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Cartaz;02/26/2020;2020;200;3.5;700;Materials and tests;Promotional material;0;0;0;0;0;700;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Cartilha;01/06/2021;2021;200;5.45;1090;Materials and tests;Promotional material;0;0;0;0;0;1090;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Cartilha;01/31/2020;2020;900;1.49;1341;Materials and tests;Promotional material;0;0;0;0;0;1341;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Cartilha;07/27/2021;2021;600;7.19;4314;Materials and tests;Promotional material;0;0;0;0;0;4314;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Chuca;;2019;;5.5;;Materials and tests;Disposable enema;3.66666666666667;0;11;25.6666666666667;0;7.33333333333333;;;;
Chuca;;2020;;5.5;;Materials and tests;Disposable enema;25.6666666666667;563.75;132;86.1666666666666;0;205.333333333333;;;;
Chuca;;2021;;5.5;;Materials and tests;Disposable enema;3.66666666666667;387.75;99;135.666666666667;11;216.333333333333;;;;
Envelope;06/18/2019;2019;100;21.95;2195;Materials and tests;Promotional material;2195;0;0;0;0;0;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Flyer;06/12/2019;2019;5000;0.49;2475;Materials and tests;Promotional material;0;0;0;2450;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Folder;01/06/2021;2021;200;1.69;338;Materials and tests;Promotional material;0;0;0;0;0;338;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Material Impresso 
Guias;01/31/2020;2020;100;7.19;719;Materials and tests;Promotional material;0;0;0;719;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Material Impresso 
Lambes;06/25/2021;2021;225;3.11;700;Materials and tests;Promotional material;0;0;0;0;0;699.75;;CTA;;
Lubrificante;-;2019;-;0.16;-;Materials and tests;Lubricant;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333;;;;
Lubrificante;;2020;;0.16;;Materials and tests;Lubricant;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333;;;;
Lubrificante;;2021;;0.16;;Materials and tests;Lubricant;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333;;;;
Pena de Galinha;10/28/2020;2020;1;18;18;Materials and tests;Promotional material;0;0;0;18;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Pulseiras
Pirulito ;05/18/2021;2021;2;13.4;26.8;Materials and tests;Promotional material;0;0;0;0;0;26.8;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Pulseiras
Pirulito ;10/28/2020;2020;4;8.5;34;Materials and tests;Promotional material;0;0;0;0;0;34;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Pulseiras
Pochetes;07/21/2021;2021;50;16.7;835;Materials and tests;Promotional material;0;0;0;0;0;835;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Doleira
Pochetes;05/18/2019;2019;80;2.5;200;Materials and tests;Promotional material;0;0;0;200;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Doleira
Pochetes;06/06/2019;2019;50;3.33;166.5;Materials and tests;Promotional material;0;0;0;166.5;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Doleira
Porta Dólar;05/18/2021;2021;34;3;102;Materials and tests;Promotional material;0;0;0;0;0;102;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Doleira
Porta Dólar;07/15/2021;2021;30;4.99;134.73;Materials and tests;Promotional material;0;0;0;0;0;149.7;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Doleira
Porta Dólar;02/06/2019;2019;55;3.33;183;Materials and tests;Promotional material;0;0;0;0;0;183.15;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Doleira
Porta Dólar;01/10/2019;2019;41;3.33;136.94;Materials and tests;Promotional material;0;0;0;0;0;136.53;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Doleira
Preservativo Externo;-;2019;-;0.16;-;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333;;;;
Preservativo Externo;;2020;;0.16;;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333;;;;
Preservativo Externo;;2021;;0.16;;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333;;;;
Preservativo Interno;-;2019;-;0.16;-;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333;;;;
Preservativo Interno;;2020;;0.16;;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333;;;;
Preservativo Interno;;2021;;0.16;;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333;;;;
Taça de Gin;05/18/2021;2021;50;2.99;149.5;Materials and tests;Promotional material;0;0;0;0;0;149.5;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Copo
Taça de Gin;07/22/2021;2021;30;4.49;134.7;Materials and tests;Promotional material;0;0;0;0;0;134.7;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Copo
